"Population and dwelling counts: Canada and census subdivisions (municipalities) 1"
"Frequency: Occasional"
"Table: 98-10-0002-01"
"Release date: 2022-02-09"
"Geography: Canada, Province or territory, Census division, Census subdivision"
"Universe: All persons, 2021 and 2016 censuses – 100% data"
"Variable List: Population and dwelling counts (13)"

,,"Population and dwelling counts (13)","Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Total private dwellings, 2016","Total private dwellings percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021","National population rank, 2021","Province/territory population rank, 2021"
"Geographic name","Geographic area type abbreviation","Province or territory abbreviation"
"Salvage","T","N.L.","108","124","-12.9","100","104","-3.8","50","58","-13.8","15.85","6.8","4,224","315"
"Sandringham","T","N.L.","205","229","-10.5","120","125","-4.0","101","104","-2.9","9.57","21.4","3,852","261"
"Sandy Cove","T","N.L.","120","122","-1.6","95","92","3.3","56","58","-3.4","8.99","13.4","4,170","306"
"St. Brendan's","T","N.L.","125","145","-13.8","122","137","-10.9","69","70","-1.4","9.76","12.8","4,150","304"
"Terra Nova","T","N.L.","99","73","35.6","164","156","5.1","52","41","26.8","2.44","40.7","4,260","323"
"Traytown","T","N.L.","279","267","4.5","161","149","8.1","136","115","18.3","13.30","21.0","3,586","230"
"Trinity (Trinity Bay)","T","N.L.","76","169","-55.0","76","132","-42.4","36","82","-56.1","12.92","5.9","4,369","337"
"Trinity Bay North","T","N.L.","1,649","1,819","-9.3","886","933","-5.0","778","813","-4.3","26.19","63.0","1,568","51"
"Baie Verte","T","N.L.","1,311","1,313","-0.2","647","646","0.2","556","545","2.0","371.37","3.5","1,807","63"
"Baytona","T","N.L.","251","262","-4.2","162","129","25.6","111","116","-4.3","15.15","16.6","3,678","242"
"Beachside","T","N.L.","97","132","-26.5","70","80","-12.5","52","64","-18.8","2.58","37.5","4,267","325"
"Birchy Bay","T","N.L.","511","550","-7.1","267","260","2.7","226","227","-0.4","49.33","10.4","2,908","154"
"Brent's Cove","T","N.L.","119","157","-24.2","84","85","-1.2","64","75","-14.7","1.02","116.4","4,177","307"
"Brighton","T","N.L.","163","188","-13.3","97","98","-1.0","71","78","-9.0","2.26","72.2","3,997","288"
"Burlington","T","N.L.","304","314","-3.2","135","144","-6.3","119","121","-1.7","4.09","74.3","3,497","219"
"Campbellton","T","N.L.","459","452","1.5","289","268","7.8","215","208","3.4","35.81","12.8","3,025","165"
"Carmanville","T","N.L.","784","740","5.9","457","378","20.9","355","314","13.1","42.68","18.4","2,392","97"
"Change Islands","T","N.L.","184","208","-11.5","204","196","4.1","104","108","-3.7","5.36","34.3","3,912","273"
"Coachman's Cove","T","N.L.","111","105","5.7","74","70","5.7","50","52","-3.8","18.99","5.8","4,208","314"
"Comfort Cove-Newstead","T","N.L.","345","407","-15.2","247","248","-0.4","160","182","-12.1","29.97","11.5","3,363","204"
"Cottlesville","T","N.L.","244","271","-10.0","145","148","-2.0","120","122","-1.6","11.15","21.9","3,703","245"
"Crow Head","T","N.L.","156","177","-11.9","106","116","-8.6","70","82","-14.6","3.03","51.5","4,028","291"
"Division No.  8, Subd. A","SNO","N.L.","386","317","21.8","626","795","-21.3","181","141","28.4","2,270.17","0.2","3,218","188"
"Division No.  8, Subd. C","SNO","N.L.","563","440","28.0","846","845","0.1","278","210","32.4","1,213.88","0.5","2,788","137"
