"Population and dwelling counts: Canada and census subdivisions (municipalities) 1"
"Frequency: Occasional"
"Table: 98-10-0002-01"
"Release date: 2022-02-09"
"Geography: Canada, Province or territory, Census division, Census subdivision"
"Universe: All persons, 2021 and 2016 censuses – 100% data"
"Variable List: Population and dwelling counts (13)"

,,"Population and dwelling counts (13)","Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Total private dwellings, 2016","Total private dwellings percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021","National population rank, 2021","Province/territory population rank, 2021"
"Geographic name","Geographic area type abbreviation","Province or territory abbreviation"
"Gregoire Lake 176A","IRI","Alta.","129","130","-0.8","53","49","8.2","51","43","18.6","0.81","159.4","4,133","349"
"Improvement District No. 24 Wood Buffalo","ID","Alta.","706","648","9.0","133","123","8.1","113","106","6.6","33,053.78","0.0","2,509","224"
"Janvier 194 4","IRI","Alta.","360","409","-12.0","148","140","5.7","122","123","-0.8","26.05","13.8","3,316","272"
"Old Fort 217","IRI","Alta.","0","0","...","0","0","...","0","0","...","13.87","0.0","4,831","407"
"Thabacha Náre 196A 6","IRI","Alta.","..","28","..","..","16","..","..","8","..","2.46","..","..",".."
"Thebathi 196 4 6","IRI","Alta.","..","15","..","..","13","..","..","3","..","61.33","..","..",".."
"Wood Buffalo 5","SM","Alta.","72,326","71,594","1.0","30,451","30,719","-0.9","25,934","25,664","1.1","60,843.88","1.2","81","7"
"Beaver Ranch 163","IRI","Alta.","15","10","50.0","5","7","-28.6","4","5","-20.0","9.18","1.6","4,694","400"
"Big Lakes County 4","MD","Alta.","4,986","5,625","-11.4","2,632","2,709","-2.8","2,007","2,082","-3.6","13,827.58","0.4","739","88"
"Boyer 164","IRI","Alta.","123","218","-43.6","55","67","-17.9","42","63","-33.3","40.89","3.0","4,161","354"
"Bushe River 207","IRI","Alta.","492","503","-2.2","157","142","10.6","146","134","9.0","114.45","4.3","2,957","251"
"Carcajou 187","S-É","Alta.","0","0","...","0","0","...","0","0","...","0.53","0.0","4,831","407"
"Child Lake 164A","IRI","Alta.","172","216","-20.4","64","62","3.2","60","62","-3.2","26.95","6.4","3,968","324"
"Clear Hills 4","MD","Alta.","3,006","3,018","-0.4","1,107","1,060","4.4","930","936","-0.6","15,025.54","0.2","1,046","122"
"Clear Hills 152C 4","IRI","Alta.","0","5","-100.0","1","7","-85.7","1","3","-66.7","16.53","0.0","4,831","407"
"Desmarais 4","S-É","Alta.","116","110","5.5","95","92","3.3","59","52","13.5","1.54","75.5","4,192","356"
"Drift Pile River 150","IRI","Alta.","775","828","-6.4","311","277","12.3","277","258","7.4","64.95","11.9","2,402","215"
"Fort Vermilion 173B","IRI","Alta.","73","96","-24.0","24","25","-4.0","23","23","0.0","0.62","117.3","4,396","372"
"Fox Lake 162","IRI","Alta.","2,488","2,032","22.4","419","351","19.4","367","303","21.1","98.03","25.4","1,200","131"
"Hay Lake 209","IRI","Alta.","957","883","8.4","307","277","10.8","273","247","10.5","99.29","9.6","2,167","198"
"High Level","T","Alta.","3,922","3,159","24.2","1,467","1,339","9.6","1,313","1,096","19.8","28.70","136.7","868","102"
"High Prairie","T","Alta.","2,380","2,564","-7.2","1,119","1,116","0.3","941","949","-0.8","7.01","339.5","1,234","136"
"Hines Creek","VL","Alta.","335","346","-3.2","184","151","21.9","149","146","2.1","4.88","68.7","3,402","278"
"Jean Baptiste Gambler 183 4","IRI","Alta.","210","253","-17.0","99","89","11.2","56","70","-20.0","1.99","105.4","3,836","313"
"John D'Or Prairie 215 5","IRI","Alta.","702","1,196","-41.3","273","236","15.7","249","222","12.2","140.04","5.0","2,519","227"
"Kapawe'no First Nation 150B","IRI","Alta.","42","154","-72.7","26","45","-42.2","20","44","-54.5","0.29","145.1","4,540","385"
"Kapawe'no First Nation 150D","IRI","Alta.","5","5","0.0","7","7","0.0","6","4","50.0","3.90","1.3","4,760","404"
"Kapawe'no First Nation 229 4","IRI","Alta.","97","5","1,840.0","42","1","4,100.0","35","1","3,400.0","1.23","78.7","4,267","362"
"Kapawe'no First Nation 231 4","IRI","Alta.","5","42","-88.1","3","18","-83.3","3","16","-81.3","0.50","9.9","4,760","404"
"Lesser Slave River No. 124","MD","Alta.","2,861","2,803","2.1","1,500","1,310","14.5","1,169","1,090","7.2","10,041.79","0.3","1,086","124"
"Little Buffalo","S-É","Alta.","441","452","-2.4","120","130","-7.7","115","113","1.8","12.86","34.3","3,071","259"
"Loon Lake 235 4","IRI","Alta.","487","540","-9.8","170","155","9.7","130","145","-10.3","70.94","6.9","2,975","254"
"Mackenzie County 5","SM","Alta.","12,804","11,171","14.6","3,756","3,568","5.3","3,516","3,089","13.8","79,629.26","0.2","340","37"
"Manning","T","Alta.","1,126","1,183","-4.8","540","544","-0.7","471","484","-2.7","3.71","303.1","1,971","183"
"Nampa","VL","Alta.","367","364","0.8","189","176","7.4","168","156","7.7","1.69","217.5","3,292","269"
"Northern Lights County","MD","Alta.","4,152","4,200","-1.1","1,864","1,846","1.0","1,559","1,538","1.4","20,627.02","0.2","835","100"
"Northern Sunrise County 4","MD","Alta.","1,711","1,921","-10.9","765","798","-4.1","658","714","-7.8","20,915.18","0.1","1,535","155"
"Opportunity No. 17 4","MD","Alta.","3,382","3,253","4.0","1,524","1,571","-3.0","1,079","1,020","5.8","28,857.88","0.1","953","114"
"Peerless Trout 238 4","IRI","Alta.","0","0","...","0","0","...","0","0","...","37.36","0.0","4,831","407"
"Rainbow Lake","T","Alta.","495","795","-37.7","352","475","-25.9","204","303","-32.7","10.76","46.0","2,949","249"
"Sawridge 150G","IRI","Alta.","41","20","105.0","34","31","9.7","21","8","162.5","9.40","4.4","4,545","387"
"Sawridge 150H","IRI","Alta.","10","10","0.0","4","4","0.0","4","2","100.0","11.99","0.8","4,722","403"
"Slave Lake","T","Alta.","6,836","6,651","2.8","2,681","2,762","-2.9","2,405","2,329","3.3","14.31","477.7","592","70"
"Sucker Creek 150A","IRI","Alta.","703","689","2.0","271","274","-1.1","250","235","6.4","60.70","11.6","2,516","226"
"Swan Hills","T","Alta.","1,201","1,301","-7.7","728","724","0.6","512","535","-4.3","25.87","46.4","1,894","178"
"Swan River 150E","IRI","Alta.","400","413","-3.1","131","123","6.5","117","116","0.9","39.47","10.1","3,178","264"
"Tall Cree 173","IRI","Alta.","282","250","12.8","68","53","28.3","58","51","13.7","37.09","7.6","3,568","286"
"Tall Cree 173A","IRI","Alta.","201","224","-10.3","56","58","-3.4","50","55","-9.1","53.66","3.7","3,863","316"
"Upper Hay River 212","IRI","Alta.","381","294","29.6","117","115","1.7","95","98","-3.1","14.49","26.3","3,242","267"
"Utikoomak Lake 155","IRI","Alta.","734","723","1.5","246","193","27.5","194","158","22.8","64.67","11.4","2,468","222"
"Utikoomak Lake 155A","IRI","Alta.","145","127","14.2","42","34","23.5","36","29","24.1","10.28","14.1","4,077","343"
"Wabasca 166","IRI","Alta.","158","160","-1.3","58","49","18.4","39","42","-7.1","84.64","1.9","4,015","334"
"Wabasca 166A 4","IRI","Alta.","559","596","-6.2","240","194","23.7","183","164","11.6","6.64","84.1","2,800","244"
"Wabasca 166B","IRI","Alta.","89","190","-53.2","51","52","-1.9","40","43","-7.0","24.95","3.6","4,307","365"
"Wabasca 166C","IRI","Alta.","179","188","-4.8","75","58","29.3","51","47","8.5","32.65","5.5","3,935","320"
"Wabasca 166D","IRI","Alta.","640","961","-33.4","310","273","13.6","233","248","-6.0","58.15","11.0","2,645","236"
"Woodland Cree 226 4","IRI","Alta.","655","678","-3.4","205","206","-0.5","179","181","-1.1","118.70","5.5","2,610","232"
"Woodland Cree 227 4","IRI","Alta.","30","15","100.0","8","5","60.0","7","5","40.0","6.55","4.6","4,592","390"
"Woodland Cree 228","IRI","Alta.","161","150","7.3","38","36","5.6","35","33","6.1","36.52","4.4","4,006","333"
"Fox Creek","T","Alta.","1,639","1,971","-16.8","985","1,054","-6.5","660","775","-14.8","12.26","133.6","1,575","158"
"Greenview No. 16 4","MD","Alta.","8,584","9,154","-6.2","3,955","4,232","-6.5","3,230","3,363","-4.0","32,925.53","0.3","484","54"
"Sturgeon Lake 154","IRI","Alta.","1,291","1,447","-10.8","480","455","5.5","433","420","3.1","148.72","8.7","1,819","171"
"Sturgeon Lake 154A","IRI","Alta.","39","53","-26.4","17","16","6.3","15","15","0.0","8.77","4.4","4,561","388"
"Valleyview","T","Alta.","1,673","1,863","-10.2","782","833","-6.1","661","747","-11.5","9.17","182.4","1,551","157"
"Beaverlodge 5","T","Alta.","2,271","2,465","-7.9","1,022","1,024","-0.2","923","953","-3.1","5.38","421.9","1,269","138"
"Berwyn","VL","Alta.","577","538","7.2","274","255","7.5","237","232","2.2","1.57","366.6","2,762","241"
"Birch Hills County","MD","Alta.","1,516","1,553","-2.4","637","616","3.4","485","496","-2.2","2,848.75","0.5","1,657","163"
"Donnelly 4","VL","Alta.","338","359","-5.8","185","179","3.4","154","159","-3.1","1.26","269.0","3,390","275"
"Duncan's 151A 4","IRI","Alta.","111","145","-23.4","57","55","3.6","43","51","-15.7","20.12","5.5","4,208","359"
"Fairview","T","Alta.","2,817","2,998","-6.0","1,376","1,363","1.0","1,201","1,251","-4.0","10.67","263.9","1,094","125"
"Fairview No. 136","MD","Alta.","1,580","1,604","-1.5","707","683","3.5","613","620","-1.1","1,373.66","1.2","1,614","161"
"Falher","T","Alta.","1,001","1,047","-4.4","474","482","-1.7","408","450","-9.3","2.83","354.1","2,108","191"
"Girouxville","VL","Alta.","278","219","26.9","150","130","15.4","127","107","18.7","0.66","422.4","3,588","287"
"Grande Prairie 5","CY","Alta.","64,141","63,166","1.5","27,551","26,204","5.1","24,816","23,676","4.8","132.71","483.3","88","9"
"Grande Prairie County No. 1 7","MD","Alta.","23,769","22,502","5.6","9,075","8,400","8.0","8,354","7,761","7.6","5,790.59","4.1","188","18"
"Grimshaw","T","Alta.","2,601","2,718","-4.3","1,232","1,194","3.2","1,080","1,061","1.8","7.08","367.2","1,155","130"
"Horse Lakes 152B","IRI","Alta.","489","469","4.3","132","112","17.9","119","107","11.2","14.47","33.8","2,967","253"
"Hythe","VL","Alta.","854","827","3.3","312","320","-2.5","276","289","-4.5","4.03","211.9","2,301","205"
"McLennan","T","Alta.","695","701","-0.9","322","296","8.8","255","256","-0.4","3.58","194.3","2,534","228"
"Peace No. 135 4","MD","Alta.","1,581","1,752","-9.8","654","640","2.2","577","579","-0.3","847.22","1.9","1,610","160"
"Peace River","T","Alta.","6,619","6,842","-3.3","2,997","2,970","0.9","2,590","2,601","-0.4","25.34","261.2","605","72"
"Rycroft","VL","Alta.","550","612","-10.1","299","316","-5.4","243","274","-11.3","1.85","297.1","2,812","245"
"Saddle Hills County","MD","Alta.","2,338","2,225","5.1","1,115","978","14.0","880","838","5.0","5,827.70","0.4","1,250","137"
"Sexsmith","T","Alta.","2,427","2,620","-7.4","929","937","-0.9","853","873","-2.3","13.01","186.5","1,218","134"
"Smoky River No. 130 4","MD","Alta.","1,684","2,006","-16.1","753","882","-14.6","637","711","-10.4","2,834.18","0.6","1,546","156"
"Spirit River","T","Alta.","849","995","-14.7","432","487","-11.3","378","442","-14.5","3.11","272.8","2,310","207"
"Spirit River No. 133","MD","Alta.","649","700","-7.3","315","306","2.9","273","274","-0.4","679.86","1.0","2,620","233"
"Wembley 5","T","Alta.","1,432","1,516","-5.5","616","618","-0.3","550","565","-2.7","4.74","302.1","1,711","166"
"Ahahswinis 1","IRI","B.C.","150","119","26.1","62","61","1.6","59","54","9.3","0.41","368.0","4,055","431"
"Alberni 2","IRI","B.C.","0","10","-100.0","0","3","-100.0","0","3","-100.0","0.55","0.0","4,831","644"
"Alberni-Clayoquot A","RDA","B.C.","256","243","5.3","404","444","-9.0","136","132","3.0","1,619.77","0.2","3,656","380"
"Alberni-Clayoquot B","RDA","B.C.","531","443","19.9","229","220","4.1","210","199","5.5","92.22","5.8","2,866","317"
"Alberni-Clayoquot C","RDA","B.C.","875","677","29.2","680","359","89.4","314","267","17.6","3,199.27","0.3","2,273","281"
"Alberni-Clayoquot D","RDA","B.C.","1,843","1,616","14.0","1,251","1,131","10.6","871","774","12.5","1,398.89","1.3","1,447","212"
"Alberni-Clayoquot E","RDA","B.C.","2,946","2,754","7.0","1,330","1,257","5.8","1,263","1,189","6.2","21.91","134.4","1,060","163"
"Alberni-Clayoquot F","RDA","B.C.","1,977","1,935","2.2","902","863","4.5","855","841","1.7","186.53","10.6","1,392","205"
"Anacla 12","IRI","B.C.","104","82","26.8","52","44","18.2","44","35","25.7","0.93","112.1","4,233","456"
"Clakamucus 2","IRI","B.C.","0","0","...","1","1","0.0","1","1","0.0","0.10","0.0","4,831","644"
"Elhlateese 2","IRI","B.C.","10","5","100.0","13","12","8.3","4","1","300.0","2.30","4.4","4,722","592"
"Esowista 3","IRI","B.C.","90","94","-4.3","35","37","-5.4","30","29","3.4","0.10","936.5","4,302","473"
"Hesquiat 1 6","IRI","B.C.","..","5","..","..","3","..","..","3","..","1.55","..","..",".."
"Ittatsoo 1","IRI","B.C.","321","274","17.2","110","96","14.6","102","86","18.6","0.68","474.8","3,440","364"
"Klehkoot 2","IRI","B.C.","15","15","0.0","7","6","16.7","7","6","16.7","1.17","12.8","4,694","580"
"Macoah 1","IRI","B.C.","27","19","42.1","21","11","90.9","17","9","88.9","0.43","62.5","4,615","556"
"Marktosis 15","IRI","B.C.","760","622","22.2","202","200","1.0","181","162","11.7","1.80","423.0","2,427","293"
"Numukamis 1","IRI","B.C.","0","5","-100.0","2","3","-33.3","1","3","-66.7","6.69","0.0","4,831","644"
"Opitsat 1","IRI","B.C.","153","150","2.0","50","53","-5.7","40","46","-13.0","0.72","212.4","4,044","430"
"Port Alberni","CY","B.C.","18,259","17,678","3.3","8,919","8,567","4.1","8,451","8,119","4.1","19.66","928.9","250","40"
"Refuge Cove 6 6","IRI","B.C.","..","44","..","..","40","..","..","27","..","0.17","..","..",".."
"Sachsa 4","IRI","B.C.","0","0","...","1","2","-50.0","1","0","...","0.07","0.0","4,831","644"
"Tin Wis 11","IRI","B.C.","26","0","...","20","0","...","15","0","...","0.14","188.0","4,622","558"
"Tofino 3","DM","B.C.","2,516","1,967","27.9","1,205","1,078","11.8","945","776","21.8","10.56","238.3","1,187","175"
"Tsahaheh 1","IRI","B.C.","596","542","10.0","211","199","6.0","208","176","18.2","4.01","148.6","2,722","308"
"Ucluelet","DM","B.C.","2,066","1,717","20.3","997","841","18.5","860","737","16.7","6.48","318.8","1,353","200"
"Babine 16 4","IRI","B.C.","0","5","-100.0","0","2","-100.0","0","2","-100.0","2.80","0.0","4,831","644"
"Babine 25","IRI","B.C.","83","112","-25.9","37","48","-22.9","26","32","-18.8","0.48","171.3","4,334","482"
"Babine 6 4","IRI","B.C.","75","81","-7.4","32","45","-28.9","32","31","3.2","1.82","41.2","4,375","494"
"Babine Lake 21B","IRI","B.C.","0","0","...","0","0","...","0","0","...","0.02","0.0","4,831","644"
"Binche 2","IRI","B.C.","118","182","-35.2","54","81","-33.3","46","62","-25.8","4.63","25.5","4,181","446"
"Bulkley-Nechako A","RDA","B.C.","5,587","5,256","6.3","2,269","2,213","2.5","2,140","2,021","5.9","3,674.43","1.5","685","89"
"Bulkley-Nechako B 4","RDA","B.C.","1,706","1,885","-9.5","797","880","-9.4","710","763","-6.9","3,624.72","0.5","1,538","222"
"Bulkley-Nechako C 4","RDA","B.C.","1,266","1,420","-10.8","656","740","-11.4","578","612","-5.6","25,527.99","0.0","1,836","257"
"Bulkley-Nechako D","RDA","B.C.","1,607","1,472","9.2","982","854","15.0","699","663","5.4","4,389.75","0.4","1,592","235"
"Bulkley-Nechako E","RDA","B.C.","1,512","1,593","-5.1","818","840","-2.6","619","621","-0.3","15,856.11","0.1","1,659","241"
"Bulkley-Nechako F","RDA","B.C.","3,517","3,665","-4.0","1,790","1,902","-5.9","1,334","1,379","-3.3","5,386.26","0.7","936","143"
"Bulkley-Nechako G","RDA","B.C.","836","903","-7.4","504","450","12.0","367","367","0.0","14,417.38","0.1","2,323","286"
"Burns Lake","VL","B.C.","1,659","1,779","-6.7","765","748","2.3","689","684","0.7","6.54","253.7","1,561","227"
"Burns Lake 18","IRI","B.C.","33","48","-31.3","14","21","-33.3","14","18","-22.2","0.56","59.4","4,586","546"
"Cheslatta 1","IRI","B.C.","49","84","-41.7","44","53","-17.0","29","31","-6.5","10.81","4.5","4,516","526"
"Duncan Lake 2","IRI","B.C.","5","5","0.0","4","6","-33.3","2","4","-50.0","0.67","7.5","4,760","610"
"Dzitline Lee 9","IRI","B.C.","15","10","50.0","9","11","-18.2","6","4","50.0","5.44","2.8","4,694","580"
"Fort St. James","DM","B.C.","1,386","1,598","-13.3","671","761","-11.8","586","644","-9.0","23.45","59.1","1,752","253"
"Francois Lake 7 6","IRI","B.C.","..","10","..","..","6","..","..","3","..","1.38","..","..",".."
"Fraser Lake","VL","B.C.","965","988","-2.3","543","551","-1.5","444","448","-0.9","4.06","237.4","2,154","278"
"Granisle","VL","B.C.","337","303","11.2","262","284","-7.7","194","176","10.2","39.85","8.5","3,396","356"
"Houston","DM","B.C.","3,052","2,993","2.0","1,461","1,402","4.2","1,271","1,242","2.3","72.88","41.9","1,031","157"
"Jean Baptiste 28","IRI","B.C.","5","0","...","4","5","-20.0","3","1","200.0","1.42","3.5","4,760","610"
"Laketown 3","IRI","B.C.","16","18","-11.1","7","9","-22.2","7","4","75.0","2.44","6.6","4,686","578"
"Mission Lands 17","IRI","B.C.","0","0","...","1","0","...","1","0","...","0.48","0.0","4,831","644"
"Nak'azdli","IRI","B.C.","528","548","-3.6","209","200","4.5","204","188","8.5","3.09","170.9","2,875","318"
"Nautley (Fort Fraser) 1","IRI","B.C.","227","192","18.2","106","100","6.0","84","68","23.5","5.07","44.8","3,761","398"
"Nedoats 11","IRI","B.C.","0","0","...","0","0","...","0","0","...","4.00","0.0","4,831","644"
"Noonla 6 4","IRI","B.C.","0","5","-100.0","1","1","0.0","1","1","0.0","0.75","0.0","4,831","644"
"North Tacla Lake 4","IRI","B.C.","243","187","29.9","93","90","3.3","86","63","36.5","0.98","248.0","3,711","389"
"Omineca 1 6","IRI","B.C.","..","5","..","..","1","..","..","1","..","0.57","..","..",".."
"Palling 1 4","IRI","B.C.","92","63","46.0","32","20","60.0","27","16","68.8","0.73","125.3","4,295","470"
"Poison Creek 17A","IRI","B.C.","10","5","100.0","4","5","-20.0","4","2","100.0","0.22","45.6","4,722","592"
"Seaspunkut 4","IRI","B.C.","10","15","-33.3","7","8","-12.5","6","7","-14.3","2.39","4.2","4,722","592"
"Skins Lake 16A","IRI","B.C.","10","5","100.0","1","6","-83.3","1","3","-66.7","0.67","14.9","4,722","592"
"Skins Lake 16B","IRI","B.C.","0","23","-100.0","0","7","-100.0","0","6","-100.0","0.63","0.0","4,831","644"
"Smithers","T","B.C.","5,378","5,401","-0.4","2,411","2,389","0.9","2,313","2,291","1.0","15.26","352.4","699","93"
"Sowchea 3","IRI","B.C.","5","0","...","3","1","200.0","3","1","200.0","1.00","5.0","4,760","610"
"Stellaquo (Stella) 1","IRI","B.C.","189","202","-6.4","77","73","5.5","75","65","15.4","8.31","22.7","3,892","413"
"Stony Creek 1","IRI","B.C.","323","313","3.2","154","131","17.6","144","112","28.6","26.37","12.2","3,436","362"
"Tache 1","IRI","B.C.","400","401","-0.2","132","114","15.8","122","104","17.3","8.98","44.5","3,178","343"
"Tacla Lake (Ferry Landing) 9","IRI","B.C.","15","0","...","4","0","...","4","0","...","0.72","20.7","4,694","580"
"Tadinlay 15","IRI","B.C.","0","0","...","0","0","...","0","0","...","1.82","0.0","4,831","644"
"Tatla West 11","IRI","B.C.","0","0","...","0","1","-100.0","0","1","-100.0","0.45","0.0","4,831","644"
"Tatla't East 2","IRI","B.C.","0","5","-100.0","1","1","0.0","1","1","0.0","0.70","0.0","4,831","644"
"Telkwa","VL","B.C.","1,474","1,327","11.1","584","539","8.3","562","495","13.5","7.04","209.5","1,682","244"
"Uncha Lake 13A 6","IRI","B.C.","..","10","..","..","7","..","..","4","..","0.38","..","..",".."
"Vanderhoof 4","DM","B.C.","4,346","4,434","-2.0","1,885","1,830","3.0","1,786","1,751","2.0","53.93","80.6","807","115"
"Williams Prairie Meadow 1A","IRI","B.C.","20","15","33.3","7","8","-12.5","6","6","0.0","0.68","29.5","4,658","569"
"Woyenne 27","IRI","B.C.","548","243","125.5","139","78","78.2","137","75","82.7","0.15","3,753.4","2,817","315"
"Ye Koo Che 3","IRI","B.C.","90","87","3.4","44","42","4.8","36","28","28.6","1.99","45.1","4,302","473"
"Becher Bay 1","IRI","B.C.","221","129","71.3","88","54","63.0","80","43","86.0","2.64","83.9","3,783","400"
"Central Saanich","DM","B.C.","17,385","16,814","3.4","7,621","7,121","7.0","7,105","6,893","3.1","41.20","421.9","264","43"
"Cole Bay 3","IRI","B.C.","266","332","-19.9","90","97","-7.2","86","90","-4.4","2.82","94.4","3,624","378"
"Colwood","CY","B.C.","18,961","16,859","12.5","7,688","6,867","12.0","7,428","6,588","12.8","17.66","1,073.6","242","38"
"East Saanich 2","IRI","B.C.","1,790","1,689","6.0","1,008","796","26.6","943","768","22.8","2.60","687.5","1,487","217"
"Esquimalt","DM","B.C.","17,533","17,655","-0.7","8,995","8,742","2.9","8,565","8,493","0.8","7.08","2,476.7","263","42"
"Esquimalt","IRI","B.C.","120","..","..","41","..","..","39","..","..","0.22","554.3","4,170","444"
"Galiano Island 9","IRI","B.C.","0","0","...","0","2","-100.0","0","1","-100.0","0.24","0.0","4,831","644"
"Gordon River 2","IRI","B.C.","79","111","-28.8","26","33","-21.2","23","30","-23.3","0.95","83.1","4,359","490"
"Highlands","DM","B.C.","2,482","2,225","11.6","927","862","7.5","906","831","9.0","38.01","65.3","1,201","176"
"Juan de Fuca (Part 1) 4","RDA","B.C.","5,132","4,670","9.9","2,459","2,337","5.2","2,202","1,992","10.5","221.48","23.2","718","97"
"Juan de Fuca (Part 2) 4","RDA","B.C.","399","190","110.0","479","152","215.1","207","89","132.6","1,267.72","0.3","3,181","344"
"Langford","CY","B.C.","46,584","35,342","31.8","19,968","14,906","34.0","19,050","14,178","34.4","41.43","1,124.4","113","21"
"Metchosin","DM","B.C.","5,067","4,708","7.6","1,938","1,932","0.3","1,856","1,818","2.1","69.57","72.8","724","99"
"New Songhees 1A","IRI","B.C.","1,839","1,842","-0.2","991","917","8.1","936","891","5.1","0.71","2,590.1","1,452","213"
"North Saanich","DM","B.C.","12,235","11,249","8.8","5,235","4,936","6.1","5,010","4,626","8.3","37.16","329.2","353","53"
"Oak Bay","DM","B.C.","17,990","18,094","-0.6","8,168","8,122","0.6","7,807","7,737","0.9","10.52","1,710.1","255","41"
"Saanich","DM","B.C.","117,735","114,148","3.1","50,064","49,422","1.3","48,048","46,652","3.0","103.59","1,136.6","49","9"
"Saltspring Island","RDA","B.C.","11,635","10,557","10.2","6,105","5,871","4.0","5,120","4,842","5.7","182.94","63.6","371","56"
"Sidney","T","B.C.","12,318","11,672","5.5","6,321","5,960","6.1","5,981","5,603","6.7","5.11","2,412.8","350","51"
"Sooke","DM","B.C.","15,086","13,001","16.0","6,431","5,599","14.9","6,129","5,253","16.7","56.60","266.6","288","45"
"South Saanich 1","IRI","B.C.","712","822","-13.4","251","248","1.2","237","227","4.4","2.09","340.9","2,496","297"
"Southern Gulf Islands","RDA","B.C.","6,101","4,732","28.9","5,151","4,945","4.2","3,180","2,479","28.3","191.08","31.9","641","86"
"T'Sou-ke","IRI","B.C.","230","225","2.2","97","90","7.8","91","84","8.3","0.75","307.8","3,747","394"
"Union Bay 4","IRI","B.C.","109","94","16.0","48","40","20.0","40","33","21.2","0.29","376.6","4,222","452"
"Victoria","CY","B.C.","91,867","85,792","7.1","53,070","49,212","7.8","49,222","45,762","7.6","19.45","4,722.3","66","14"
"View Royal","T","B.C.","11,575","10,408","11.2","5,175","4,299","20.4","4,915","4,154","18.3","14.33","807.6","374","57"
"Agats Meadow 8","IRI","B.C.","0","0","...","0","1","-100.0","0","0","...","1.20","0.0","4,831","644"
"Alexandria 4 6","IRI","B.C.","..","40","..","..","13","..","..","13","..","9.31","..","..",".."
"Alexis Creek 14","IRI","B.C.","5","0","...","1","1","0.0","1","0","...","1.64","3.0","4,760","610"
"Alexis Creek 16","IRI","B.C.","0","0","...","0","0","...","0","0","...","0.38","0.0","4,831","644"
"Alexis Creek 21","IRI","B.C.","0","0","...","0","2","-100.0","0","0","...","3.61","0.0","4,831","644"
"Alexis Creek 34","IRI","B.C.","0","0","...","0","2","-100.0","0","0","...","1.32","0.0","4,831","644"
"Alkali Lake 1","IRI","B.C.","358","328","9.1","114","122","-6.6","112","113","-0.9","2.59","138.3","3,320","353"
"Alkali Lake 4A","IRI","B.C.","5","10","-50.0","2","3","-33.3","2","3","-33.3","1.29","3.9","4,760","610"
"Anahim's Flat 1","IRI","B.C.","437","342","27.8","133","129","3.1","132","112","17.9","38.59","11.3","3,087","338"
"Anahim's Meadow","IRI","B.C.","10","10","0.0","4","7","-42.9","4","4","0.0","4.19","2.4","4,722","592"
"Baezaeko River 27","IRI","B.C.","0","0","...","0","3","-100.0","0","0","...","0.22","0.0","4,831","644"
"Baptiste Meadow 2","IRI","B.C.","0","5","-100.0","1","2","-50.0","1","2","-50.0","2.06","0.0","4,831","644"
"Betty Creek 18","IRI","B.C.","0","0","...","0","0","...","0","0","...","1.29","0.0","4,831","644"
"Canim Lake 1 6","IRI","B.C.","..","228","..","..","78","..","..","77","..","17.30","..","..",".."
"Canim Lake 2 6","IRI","B.C.","..","5","..","..","4","..","..","4","..","0.56","..","..",".."
"Canim Lake 4","IRI","B.C.","0","0","...","0","1","-100.0","0","0","...","0.13","0.0","4,831","644"
"Canoe Creek 3","IRI","B.C.","0","0","...","0","0","...","0","0","...","28.03","0.0","4,831","644"
"Cariboo A 4","RDA","B.C.","6,169","6,234","-1.0","2,719","2,712","0.3","2,604","2,609","-0.2","778.12","7.9","633","85"
"Cariboo B","RDA","B.C.","3,864","3,842","0.6","1,781","1,754","1.5","1,629","1,634","-0.3","1,413.47","2.7","883","137"
"Cariboo C","RDA","B.C.","1,239","1,225","1.1","652","635","2.7","552","557","-0.9","7,377.49","0.2","1,858","262"
"Cariboo D","RDA","B.C.","2,870","2,929","-2.0","1,408","1,350","4.3","1,223","1,233","-0.8","849.54","3.4","1,082","168"
"Cariboo E","RDA","B.C.","4,112","4,064","1.2","1,867","1,821","2.5","1,723","1,693","1.8","1,745.18","2.4","842","124"
"Cariboo F","RDA","B.C.","4,792","4,554","5.2","2,491","2,371","5.1","2,034","1,943","4.7","9,740.20","0.5","760","106"
"Cariboo G 4","RDA","B.C.","5,312","5,156","3.0","2,948","2,856","3.2","2,399","2,308","3.9","2,646.03","2.0","703","95"
"Cariboo H","RDA","B.C.","1,884","1,784","5.6","1,386","1,438","-3.6","882","822","7.3","2,593.68","0.7","1,426","209"
"Cariboo I 4","RDA","B.C.","1,485","1,435","3.5","763","691","10.4","659","635","3.8","11,915.99","0.1","1,673","242"
"Cariboo J","RDA","B.C.","616","642","-4.0","514","433","18.7","306","303","1.0","25,880.08","0.0","2,683","306"
"Cariboo K","RDA","B.C.","447","398","12.3","252","248","1.6","205","155","32.3","13,629.59","0.0","3,053","335"
"Cariboo L","RDA","B.C.","4,769","4,204","13.4","3,746","3,482","7.6","2,286","1,961","16.6","1,263.69","3.8","762","107"
"Charley Boy's Meadow 3","IRI","B.C.","0","0","...","0","6","-100.0","0","0","...","4.68","0.0","4,831","644"
